"Processed MLD data kindly provided to me by staff at BIOS: Dominic Smith, Rodney Johnson, Nicholas Bates.",,,,,,,,,,
,,,,,,,,,,
Cast ID,Decimal Year,Cast Latitude,Cast Longitude,MLD (T alg.),MLD (S alg),MLD (rho alg),MLD (T threshold),MLD (rho threshold),Column10,Column11
20344002,2018.157032,31.66650833,64.17009333,24,60,14,61.5,60,24,14
20344003,2018.158046,31.620005,64.15424333,30,58,24,65.5,58,30,24
10345002,2018.19915,31.67316,64.16112833,130,124,124,125,124,110,104
10345003,2018.200067,31.68462333,64.15647833,142,142.5,142.5,142.5,142.5,128,128
10345005,2018.201398,31.65281,64.18462167,144,140.5,140.5,144,140.5,86,20
20345001,2018.224498,31.668845,64.16781333,150,78,78,150.5,78,22,22
20345002,2018.225495,31.661525,64.17080167,138,141.5,138,140.5,141.5,112,14
20345004,2018.229414,31.66225333,64.17129833,177,167,167,169,167,11,11
20345005,2018.229804,31.66992167,64.15755,11,24.5,11,167,24.5,11,11
10346001,2018.278682,31.688555,64.17385667,42,32,32,42.5,32,16,14
10346002,2018.280784,31.66795167,64.16877333,50,50,48,51,50,50,34
10346003,2018.280972,31.66854833,64.16735167,49,49,47,49.5,49,49,11
10346004,2018.282049,31.67297833,64.18906667,11,11.5,11,12.5,11.5,11,11
10346005,2018.282991,31.6691,64.17235833,36,37,36,38.5,37,34,32
10346006,2018.283855,31.67503667,64.19077833,41,40,40,41,40,13,11
10346007,2018.284429,31.68966667,64.22397,11,10,10,11.5,10,11,11
10346012,2018.288845,31.6667,64.16671,17,18,18,20.5,18,17,15
20346001,2018.308971,31.66829333,64.16622,12,15,12,31,15,12,12
20346011,2018.31503,31.66878667,64.168015,46,46.5,46,47,46.5,46,44
20346012,2018.315862,31.66644167,64.16449,45,47,45,47.5,47,43,15
20346013,2018.316322,31.684635,64.17177333,39,43.5,39,44.5,43.5,39,39
10347008,2018.390411,31.66083667,64.144985,16,12,16,12.5,12,12,12
10347009,2018.390997,31.66445833,64.16843,15,11.5,18,15,11.5,12,12
10347010,2018.392557,31.66817333,64.16460333,12,12,12,12.5,12,12,12
10347016,2018.395738,31.66948167,64.16739,16,14,16,16,16,16,14
10348006,2018.444127,31.658615,64.14603833,19,13,13,13.5,13,15,11
10348008,2018.448573,31.669815,64.166425,21.5,19.5,23,21.5,19.5,11,11
10348009,2018.450381,31.66708167,64.16765167,24,23,25,24,23,21,21
10348011,2018.452298,31.667005,64.165475,19.5,18,22,19.5,18,14,14
10348012,2018.452797,31.66741833,64.16576333,28,46,28,28.5,28,28,24
10348013,2018.453537,31.624475,64.14329333,21,19,21,21,19,11,11
91819001,2018.503463,31.66680167,64.16622333,14,12.5,14,14,12.5,12,12
91819003,2018.504229,31.66825,64.17205833,21,20,22,21,20,20,20
91819005,2018.505076,31.665985,64.164855,16,11,11,16,13,15,11
91819006,2018.506107,31.66693333,64.16728,17.5,15,15,17.5,15.5,11,11
91819007,2018.506963,31.67345167,64.171945,14,12,14,16,14,12,12
91819009,2018.50786,31.66725833,64.16636833,14,13,11,14,11,11,11
91819010,2018.508615,31.67059833,64.17103667,20,14,20,17.5,14,12,12
91819011,2018.509414,31.66616667,64.16623667,14.5,13,11,14.5,13,11,11
91819012,2018.510401,31.66612167,64.167275,21.5,16,24,21.5,16,14,12
10349001,2018.541781,31.65451667,64.18793333,33,10,10,11.5,10,11,11
10349004,2018.543556,31.66454333,64.16671833,29,17,29,18,17,17,17
10349014,2018.549939,31.612665,64.10001,33,18,18,23,18,11,11
10349016,2018.551436,31.66615167,64.16297,23,18,18,23,18.5,18,14
10349017,2018.552285,31.65256667,64.14801667,24,21.5,22,24,21.5,22,14
10349018,2018.552787,31.62429333,64.1301,22.5,20,24,22.5,20,12,12
10349020,2018.55457,31.669985,64.16728333,23,22,24,23,22,22,20
61342003,2018.578183,31.6759,64.1715,20,16.5,26,20,16.5,12,12
10350008,2018.614935,31.666785,64.16437333,22,18.5,14,22,18.5,14,14
10350009,2018.615675,31.664615,64.16576,31,12.5,12.5,21.5,12.5,11,11
10350010,2018.61719,31.664835,64.16169667,21.5,13,13,21.5,14,15,13
10350012,2018.618141,31.66426167,64.15513167,20,12.5,12,20,12.5,12,12
10350013,2018.61867,31.66357833,64.14814,10.5,9.5,9.5,10.5,9.5,11,11
10350014,2018.619146,31.66767667,64.13113833,18.5,17,13,18.5,17,13,13
10350016,2018.620327,31.66678167,64.16772833,38,16.5,16.5,18,16.5,18,14
10350020,2018.624494,31.66633333,64.16654667,30,13.5,13.5,16,13.5,12,12
10351008,2018.694551,31.67213,64.15862333,31,30,29,31,30,31,29
10351010,2018.695107,31.66647167,64.16411,32,42,32,32,32,34,26
10351011,2018.696651,31.66657333,64.16682333,32,38,32,32,32,30,18
10351012,2018.697711,31.71594667,64.12963833,28,27,28,28,27,28,12
10351016,2018.699772,31.66977833,64.16495833,32,30,32,32,32,32,32
61346003,2018.731516,31.66684667,64.16333333,35,33.5,35,35,33.5,33,15
50053002,2018.742551,31.66683333,64.16695833,39,17,41,39,17,11,11
50053003,2018.742799,31.66823333,64.16776167,34,34,34,34,34,12,12
50053028,2018.775411,31.66811167,64.16696667,28,28,28,43,37,38,34
10352008,2018.795721,31.66533667,64.16537833,47,45,47,47,47,49,13
10352009,2018.796404,31.666295,64.16501667,50,48,46.5,50,46.5,50,12
10352011,2018.797228,31.66420167,64.16503333,46,45.5,47,46,45.5,43,11
10352015,2018.803501,31.668545,64.16515667,63,63,63,63,63,63,33
10352017,2018.804441,31.67742333,64.10437667,57,57,57,57,57,57,39
10352021,2018.809372,31.667585,64.16706167,54,54,54,54.5,54,48,18
10352022,2018.809827,31.67115167,64.16429167,52,52,52,52.5,52,48,46
10352023,2018.811994,31.66662333,64.165885,55,53,55,55,53,55,13
10353008,2018.848059,31.65204,64.15400833,36,32,32,37.5,36.5,36,26
10353009,2018.848691,31.661065,64.16623,59,49.5,49.5,52,49.5,51,11
10353011,2018.850181,31.66518,64.166045,38,25,25,29,25,12,12
10353012,2018.851149,31.63113667,64.2228,12,20,12,17.5,27.5,12,12
10353017,2018.853994,31.66592,64.16548833,73,59.5,59.5,73,59.5,12,12
10353020,2018.856225,31.66667167,64.16757,79,42.5,42.5,55,42.5,39,39
10353021,2018.857766,31.66801667,64.17541,23,26.5,23,36,26.5,23,23
10354011,2018.952163,31.6776,64.16322667,18,22,22,45.5,22,18,12
10354012,2018.952749,31.66780333,64.16748667,60,22.5,22.5,60,22.5,18,16
10354013,2018.954292,31.66650333,64.16568667,37,39.5,37,46,39.5,37,37
10354016,2018.955365,31.68612667,64.19003,18,19,19,21.5,19,18,14
10354017,2018.956052,31.72136667,64.19886667,46.5,24,24,46.5,24,23,11
10354020,2018.957498,31.66589667,64.168485,66,48,48,58,48,46,32
10355008,2019.028917,31.66921,64.208225,147,127,127,127.5,127,11,11
10355009,2019.029564,31.66799,64.16905,27,70,27,62.5,70,27,27
10355010,2019.031006,31.66638833,64.16689,118,119,118,119.5,119,118,16
10355013,2019.032097,31.651005,64.23628667,112,92,92,94.5,92,18,18
10355017,2019.034551,31.66589,64.166945,119,113,96,96,113,41,95
10356007,2019.130335,31.66237667,64.18571833,40,47,47,112,47,40,14
10356008,2019.130936,31.66402833,64.17033,14,16,16,113.5,16,14,12
10356009,2019.132376,31.66585667,64.17402,41,50.5,27,133,50.5,41,15
10356013,2019.133415,31.62615333,64.17843833,44,31.5,31.5,44,31.5,11,11
10356014,2019.133727,31.61156333,64.17896667,12,15,12,41,15,12,12
10356021,2019.137812,31.66423167,64.17227,47,73.5,47,86.5,73.5,47,47
10357006,2019.189743,31.666795,64.166865,96,97,97,196,97,96,40
10357007,2019.191581,31.677875,64.17569833,14,33.5,14,67,33.5,14,14
10357008,2019.192542,31.66571667,64.16672667,32,61.5,26,73,61.5,32,26
10357010,2019.193659,31.65388667,64.17777167,75,116.5,63,124,116.5,75,63
10357011,2019.194068,31.66518333,64.200995,77,77.5,77.5,115,77.5,77,11
10357012,2019.194412,31.66450667,64.20005833,81,105,105,116.5,105,81,53
10357014,2019.195816,31.67017667,64.17268667,76,115.5,115.5,176.5,115.5,76,12
10357018,2019.200887,31.69894167,64.2147,53,189.5,71,197,189.5,61,21
10358008,2019.266455,31.67079,64.091685,12,18,12,19,18,12,12
10358009,2019.266764,31.66781,64.08637333,12,18,12,19,18,12,12
10358010,2019.267009,31.66741833,64.16727333,33,13,13,33,13,12,12
10358012,2019.271079,31.66989833,64.18384833,33,11.5,11.5,15,11.5,11,11
10358014,2019.272373,31.66713833,64.089525,35,24.5,24.5,27.5,24.5,23,11
10358015,2019.273145,31.66826,64.16463167,32,27.5,27.5,29.5,27.5,14,12
10358017,2019.274713,31.66628,64.16627333,49,49,47.5,49.5,47.5,43,41
10358020,2019.275803,31.65124333,64.250365,42,37.5,37.5,43,37.5,18,16
10358023,2019.277744,31.67182333,64.09034833,51,51,51,51.5,51.5,51,29
10358024,2019.278154,31.66347833,64.168435,48,46,48,48,48,48,48
10358026,2019.280021,31.65363167,64.14914167,29,31,27,32.5,31,29,29
20358001,2019.301284,31.65842,64.16479167,32,32,32,33.5,33.5,20,20
20358002,2019.303489,31.67116333,64.15397333,37,37,36.5,37,36.5,27,25
20358003,2019.304861,31.66806,64.17027,35,33,33,36.5,36,33,33
20358005,2019.305997,31.68753333,64.19669333,47,45,47,47,47,11,11
20358006,2019.306866,31.69427,64.22455667,40,38,40,40,40,36,16
10359007,2019.359989,31.67241,64.09045833,35,35,35,37,36,35,13
10359008,2019.360287,31.66974,64.089065,37,45,37,37.5,37,37,37
10359009,2019.360856,31.666755,64.16980833,35,34,35,35,34,11,11
10359010,2019.363468,31.66694,64.16215833,27,14.5,14.5,26,14.5,11,11
10359012,2019.365126,31.67177833,64.16494833,30,23.5,32,27,23.5,20,16
10359013,2019.365506,31.67034667,64.09042167,15,16,15,17,16,15,13
10359015,2019.366254,31.74716667,64.17037833,25,24,24,26,24,25,11
10359020,2019.370139,31.66848667,64.16726,40,32,32,36.5,32,12,12
10359021,2019.370995,31.67149333,64.08982833,30,30,29,31,29,24,22
10359022,2019.371364,31.66729833,64.16934833,28,27,27,28.5,27,16,12
10360006,2019.4286,31.66866167,64.08962667,11,11,11,13,11,11,11
10360007,2019.428824,31.66748667,64.09720333,11,10,10,12,10,11,11
10360008,2019.429355,31.67128833,64.17485667,11,9.5,9.5,14,9.5,11,11
10360010,2019.432093,31.66731,64.168425,34,12.5,12.5,20,12.5,12,12
10360011,2019.433147,31.66596667,64.16740833,51,21,21,30,21,17,11
10360012,2019.433619,31.67069,64.17282167,28,28,28,30,28,26,14
10360013,2019.433999,31.66851667,64.09108,23,21,21,23.5,21,17,17
10360015,2019.434722,31.64120333,64.241085,34,25,25,29,25,12,12
10360019,2019.437869,31.66586167,64.16924833,36,11,11,15,11,12,12
50055001,2019.456802,31.64760833,64.18198333,11,15,11,12,11,11,11
50055002,2019.4593,31.66785833,64.16511167,9,11,9,9.5,9,11,11
10361009,2019.535852,31.66663833,64.16851167,15,12.5,12,15,12.5,12,12
10361012,2019.538767,31.67284,64.15801,10.5,9.5,11,10.5,9.5,11,11
10361015,2019.540451,31.66683333,64.17031167,12,11,12,12,11,12,12
10361017,2019.541545,31.72540167,64.200435,11.5,10.5,11,11.5,10.5,11,11
10361019,2019.542618,31.66408167,64.1669,11.5,10.5,12,11.5,10.5,12,12
10361025,2019.545291,31.66533167,64.16757,12,10,11,12,10,11,11
10362009,2019.62715,31.665905,64.16747667,43,16.5,16.5,37,16.5,11,11
10362010,2019.629271,31.66021667,64.166355,23.5,12,26,23.5,12,12,12
10362022,2019.637348,31.66623333,64.16698,11,11,11,11.5,11,11,11
61366003,2019.657241,31.66548167,64.16583,18,11.5,12,18,11.5,12,12
10363010,2019.687061,31.66346167,64.15848833,27.5,25,20.5,27.5,20.5,21,11
10363013,2019.689606,31.66963833,64.16603167,31,31,27,31,27,11,11
10363015,2019.691157,31.665585,64.16857167,22.5,21,29,22.5,21,11,11
10363017,2019.692129,31.64236,64.21722,30,17,35,30,17,11,11
10363018,2019.692177,31.63852833,64.22369667,26,18,33,26,18,11,11
10363023,2019.694842,31.66655833,64.16570167,30,20.5,31,30,20.5,11,11
61368003,2019.709665,31.66643333,64.16707,31.5,29,13.5,31.5,13.5,13,11
50056002,2019.740365,31.669565,64.168845,44,42,42,44,42.5,42,42
10364010,2019.804827,31.66312,64.16620167,49,18.5,18.5,49,18.5,11,11
10364013,2019.807325,31.662555,64.16724333,47,47,47,47.5,47,25,27
10364014,2019.808965,31.66974333,64.16377167,47,47,45.5,47,45.5,45,41
10364017,2019.810089,31.64852833,64.174955,47,40,47,47.5,40,47,11
10364018,2019.810824,31.65811667,64.193545,43,43,37,43,37,11,11
10364021,2019.812089,31.66623833,64.16570167,51,47,49,51,49,19,15
10365008,2019.876317,31.65824167,64.16002333,13,71,13,32.5,71,13,13
10365009,2019.878666,31.666695,64.16097,63,36.5,36.5,45,36.5,33,19
10365012,2019.883078,31.66907,64.16892333,72,28,28,72,28,69,11
10365014,2019.8843,31.64015167,64.173855,71,25,25,65.5,25,17,11
10365015,2019.884806,31.618525,64.20815333,64.5,36,36,64.5,36,14,12
10365017,2019.887414,31.66428667,64.16987167,80,70.5,70.5,74.5,70.5,66,58
61374005,2019.907629,31.66422167,64.167925,71,70,71,71.5,70,61,11
10366008,2019.941025,31.667795,64.12301,32,94,12,54.5,94,32,12
10366009,2019.941212,31.66662333,64.12486833,97,97,97,97.5,97,21,23
10366010,2019.941707,31.666345,64.17884667,11,43.5,11,46,43.5,11,11
10366013,2019.944344,31.66385667,64.16635667,90,90,90,90.5,90,12,12
10366014,2019.946062,31.66715667,64.16766333,36,94,18,96.5,94,94,18
10366015,2019.946463,31.66476167,64.12272,84,55,55,64.5,55,30,28
10366017,2019.947137,31.63833833,64.24610833,83,63.5,63.5,73,63.5,31,25
10366024,2019.950715,31.66860167,64.16803333,88,82,82,86,82,46,12
10366026,2019.951941,31.66607333,64.12425333,25,44.5,26.5,26.5,44.5,25,23
61377004,2020.019564,31.66435833,64.16801333,92,97.5,92,98,97.5,92,12
10367009,2020.067873,31.67971667,64.16506667,30,44,28,67.5,44,30,28
10367010,2020.069166,31.66528667,64.17081167,67,67,71.5,72.5,71.5,67,41
10367013,2020.070456,31.66986167,64.18086667,29,57.5,11,64,57.5,29,11
10367014,2020.071048,31.67021167,64.18836333,14,40.5,14,51.5,40.5,14,14
10367017,2020.072746,31.68221167,64.14153167,45,54,54,77,54,45,11
10368006,2020.157294,31.669225,64.174655,96,106.5,96,106.5,106.5,96,96
10368007,2020.157935,31.66499333,64.16722167,20,104.5,16,106,104.5,20,16
10368008,2020.159343,31.66925333,64.16588833,24,28,28,32,28,24,12
10368014,2020.163722,31.66695667,64.16551833,89,97.5,97.5,98,97.5,89,65
10369006,2020.515304,31.6656,64.16572,23,21,20.5,23,20.5,19,11
10369008,2020.518029,31.66670667,64.16556667,17,17,15,17,15,11,11
10369011,2020.519814,31.66489833,64.16767,15,12.5,15,17,12.5,11,11
10369012,2020.520387,31.66893,64.14278,15,15,13.5,15,13.5,11,11
10369013,2020.520784,31.66128667,64.12673333,16,16,11.5,16,11.5,12,12
10369015,2020.521795,31.65150833,64.12263167,0,0,0,9.5,9,11,11
10369017,2020.524175,31.66804,64.16747833,13,12,12,13,12,12,12
10369022,2020.528571,31.66528667,64.16917,15,13,13,14,13,13,11
10370001,2020.57608,31.66180167,64.17657,12,14,12,12,12,12,12
10370002,2020.577258,31.657735,64.24691833,13,12.5,13,14,12.5,13,11
10370003,2020.578328,31.69726167,64.21178,23,15,15,20,15,11,11
10370004,2020.578685,31.71615167,64.23270333,20,12,24,20,12,12,12
10370006,2020.580487,31.66801333,64.162845,13,37,13,13.5,13,13,13
10371007,2020.627068,31.66755,64.16789333,23,17,17,18,17,17,17
10371010,2020.629165,31.68162333,64.16336167,18,14,14,14.5,14,16,12
10371014,2020.632407,31.66674833,64.16820167,26,32,26,26.5,26,26,20
10371015,2020.632868,31.66989667,64.16898167,27,25,27,27,25,11,11
61387003,2020.645258,31.66588,64.16921667,22.5,13,23,22.5,13,11,11
10372001,2020.710544,31.67521667,64.16790167,10.5,9.5,9.5,10.5,9.5,11,11
10372002,2020.711529,31.668095,64.16560333,12,17,12,34.5,17,12,12
10372003,2020.71206,31.66174333,64.17088,12,16,12,16.5,16,12,12
10373001,2020.729432,31.67255667,64.16525,51.5,48.5,62,51.5,48.5,18,16
10373002,2020.730322,31.66828,64.17017,50.5,49.5,50,50.5,49.5,50,50
10373003,2020.73133,31.68231,64.17358,69.5,27.5,27.5,69.5,27.5,14,12
10373004,2020.731677,31.66822833,64.18554333,16.5,11.5,11.5,16.5,11.5,11,11
10373005,2020.732212,31.66059,64.23112167,54,28,28,54,28,12,12
10373006,2020.733276,31.669635,64.16770667,56,51.5,65,56,51.5,35,17
10373008,2020.734438,31.666,64.168555,46,13.5,13.5,36,13.5,12,12
10373009,2020.734631,31.666825,64.16703,48,41,56,48,41,14,14
50057015,2020.778385,31.66824667,64.16729333,12,29,12,29,29,12,12
10374002,2020.815559,31.67066167,64.16542333,55,55,55,55,55,55,55
10374005,2020.817718,31.67044833,64.16519833,63,465,63,64,63,63,27
10374006,2020.818733,31.66758667,64.191955,50,49.5,50,50,49.5,50,46
10374007,2020.81904,31.68164833,64.204465,56,454,56,56,56,56,12
10374008,2020.819359,31.68692667,64.22555333,54,54,54,54.5,54,18,18
10374009,2020.820932,31.66698167,64.16567833,50,49.5,50,52,49.5,48,46
10374010,2020.821285,31.66608667,64.16784667,45.5,41,53,45.5,41,41,17
10374020,2020.829114,31.66692667,64.1662,32,26.5,26.5,62.5,26.5,26,22
10375007,2020.878525,31.66182667,64.16872333,68.5,68.5,68.5,68.5,77,41,11
10375008,2020.878986,31.66550833,64.16427667,82,65,82,82.5,65,40,14
10375009,2020.882546,31.66694333,64.16675667,73,73,73,75,74.5,73,45
10375010,2020.883383,31.66888,64.164015,87,441,87,87.5,87,81,29
10375012,2020.884477,31.646915,64.17580667,86,84.5,86,86,84.5,84,40
10375013,2020.884745,31.641475,64.16639833,79,81,79,79.5,79,79,21
10375014,2020.88513,31.622785,64.175595,82,86,82,82.5,82,80,12
10375016,2020.887358,31.67042,64.16278167,91,91,91,91.5,91,85,47
10375017,2020.887807,31.665625,64.16805,86,86,83.5,86,83.5,80,80
10376002,2020.942207,31.656625,64.17023667,64,94,92,95,94.5,92,92
10376003,2020.944515,31.66733,64.16309,90,60,60,90,60,38,32
10376004,2020.944849,31.667945,64.16678333,102,102,102,103,102,102,16
10376006,2020.946241,31.66778833,64.16108833,83,83,83,84.5,84,85,83
10376008,2020.947218,31.63831667,64.08830333,95,94,96,95,94,88,18
10376018,2020.952911,31.665635,64.16430333,80,22,22,80,22,13,13
10376021,2020.95902,31.66985,64.16624167,39,91,25,89.5,87,83,25
10377001,2021.062293,31.66751,64.16949833,116.5,115,107,116.5,107,79,45
10377002,2021.062681,31.66834167,64.16455167,107,109,97,109,109,61,29
10377004,2021.066642,31.65970333,64.16621167,30,120,14,117.5,116.5,114,14
10377005,2021.067247,31.665525,64.16236667,102,104,100,104,104,90,14
10377007,2021.067852,31.66699,64.17841333,93,85,85,90,89.5,85,21
10377008,2021.06817,31.66297333,64.158245,93,91,93,93,93,93,93
10378006,2021.116634,31.66424,64.17019667,200,204,204,212.5,204,200,134
10378007,2021.117281,31.678535,64.07235833,12,163.5,12,217.5,163.5,12,12
10378008,2021.119743,31.66727333,64.16567667,12,24,12,183.5,24,12,12
10378009,2021.121404,31.66382833,64.16528833,17,83.5,11,193,83.5,17,11
10378011,2021.122422,31.596545,64.16919667,13,13,13,14,13,11,11
10378019,2021.127392,31.666325,64.16654333,22,34,22,35.5,34,22,22
10378020,2021.127804,31.66669,64.173515,12,26,12,26,26,12,12
10379001,2021.205091,31.66626167,64.163905,180,180,180,181,181,182,16
10379007,2021.207985,31.66686167,64.16455333,204,204,208,208.5,209,202,22
10379008,2021.209037,31.666095,64.16411167,198,198,198,200,200,198,198
10379009,2021.21016,31.63837833,64.11337833,191.5,189,189,191.5,189,16,12
10379010,2021.210392,31.63644333,64.102735,12,13,12,16,13,12,12
10379011,2021.210904,31.64308167,64.09008833,11,10,10,37.5,10,11,11
10379013,2021.212675,31.66998167,64.16220833,11,14.5,11,16.5,14.5,11,11
10379014,2021.212926,31.66379667,64.16710167,11,16.5,11,20,16.5,11,11
20379001,2021.227135,31.66653333,64.16577,12,10.5,10.5,12,10.5,12,12
20379002,2021.228198,31.667255,64.16722333,12,14.5,12,17,14.5,12,12
20379003,2021.229178,31.69170833,64.13091833,12,15.5,12,16,15.5,12,12
20379004,2021.229511,31.69857167,64.10609667,11,10,10,11,10,11,11
20379005,2021.229857,31.701325,64.09722333,11,14,11,16.5,14,11,11
10380002,2021.260339,31.67826,64.17381667,57,66,55,67.5,66,57,11
10380004,2021.262365,31.66681,64.16823667,34,57,16,59.5,57,34,16
20380001,2021.322913,31.66705833,64.16718,49,25.5,25.5,27.5,25.5,13,13
20380003,2021.324009,31.667275,64.16612333,11,14,11,30,14,11,11
20380004,2021.324795,31.70138,64.18858167,29,31,31,32,31,31,15
20380005,2021.325365,31.74180167,64.20611333,39,24,24,26,24,11,11
20380007,2021.327835,31.66794833,64.16732333,27,23,23,24.5,23,21,11
10381003,2021.3609,31.66050833,64.18088,11,10.5,10,11,10.5,12,12
10381009,2021.36508,31.66680667,64.16624833,24,12.5,12.5,14.5,12.5,12,12
10381011,2021.366094,31.654845,64.16095833,16,16,16,18,16,14,12
10381012,2021.366364,31.64111333,64.166305,15,10.5,10.5,18.5,10.5,11,11
10381013,2021.366642,31.634385,64.16879,21,14,14,17.5,14,11,11
10381014,2021.366962,31.62143333,64.17587833,18.5,12,12,18.5,12,12,12
10381015,2021.368387,31.667585,64.16644667,22,21.5,22,23,21.5,20,12
10381021,2021.374355,31.66731,64.16612333,25,18,18,25,18,13,13
10382001,2021.453489,31.652355,64.15690167,16,16,16,16,16,16,14
10382002,2021.454018,31.66512,64.16493,19,14.5,20,19,14.5,12,12
10382004,2021.455518,31.66850833,64.16303,19,19,19,21,20.5,21,21
10382006,2021.456572,31.62836667,64.139985,24,24,24,25,24.5,22,14
10382007,2021.456872,31.62129667,64.13472667,31,29,31,31,31,29,29
10382008,2021.457251,31.62724333,64.126055,25.5,25,27,25.5,25,23,13
10382011,2021.458798,31.664535,64.16555167,28,27.5,28,28,27.5,18,18
10382012,2021.459302,31.66559833,64.16558833,23,25,23,23.5,23,11,11
10382013,2021.459557,31.66376167,64.16604,24,15,26,20,15,12,12
10382024,2021.464876,31.66404667,64.16725,13.5,11.5,11,13.5,11.5,11,11
10383001,2021.517605,31.66319833,64.1667,18,15,15,18,15.5,15,15
10383005,2021.520038,31.66263833,64.164735,13,12,11,13,12,11,11
10383007,2021.521277,31.66533667,64.16342167,29,15,10.5,29,10.5,11,11
10383009,2021.522314,31.69958833,64.15372333,25.5,17,11,25.5,11,11,11
10383010,2021.522664,31.71259167,64.15889,12.5,11,12,12.5,11,12,12
10383011,2021.522957,31.72203833,64.14916167,24,14,11,24,11,12,12
10383013,2021.524551,31.667575,64.16470833,19.5,19,17,19.5,17,15,11
10383014,2021.525145,31.66597833,64.16426833,31,17.5,17.5,21.5,17.5,11,11
10383015,2021.525401,31.66486833,64.16293167,11.5,10.5,12,11.5,10.5,12,12
10383022,2021.530928,31.68747,64.151345,20,17.5,20,20,17.5,12,12
10383026,2021.533398,31.72119667,64.14000833,25,17,17,19.5,17,13,11
10383027,2021.533455,31.71724667,64.1454,16.5,14.5,12,16.5,14.5,12,12
10383028,2021.533487,31.71566,64.14815167,21,15.5,15.5,17.5,15.5,13,11
10383029,2021.533522,31.71378333,64.15200167,21,13.5,13.5,17.5,13.5,11,11
10383030,2021.533556,31.71381667,64.155705,16,14,20,16,14,12,12
10383031,2021.53359,31.713665,64.15897667,18,12.5,12.5,14.5,12.5,12,12
10383032,2021.533624,31.714005,64.16183333,20,12.5,12.5,14,12.5,12,12
10383033,2021.534018,31.66735333,64.16834333,15,11.5,12,15,11.5,12,12
10383035,2021.536975,31.66896,64.16885,17.5,16,12,17.5,16,14,12
10384010,2021.631522,31.66072,64.15849167,36,36,35.5,36,35.5,34,34
10384011,2021.632161,31.66566,64.163055,30,30,13,30,13,14,12
10384013,2021.633621,31.66819333,64.161535,35,35,19.5,35,19.5,17,15
10384014,2021.634131,31.66700167,64.15491333,38.5,37.5,39,38.5,37.5,29,29
10384015,2021.634642,31.66659333,64.13757833,29.5,29,10.5,29.5,10.5,11,11
10384016,2021.634971,31.67919167,64.11909667,11,10,10,11,10,11,11
10384017,2021.635278,31.69827833,64.10226667,12.5,11,11,12.5,11,11,11
10385002,2021.69739,31.66689333,64.18075,50,17.5,17.5,50,17.5,17,11
10385004,2021.698457,31.66860667,64.16962167,32.5,16,50,32.5,16,12,12
10385005,2021.699406,31.669735,64.166605,41.5,19.5,43,41.5,19.5,19,17
10385006,2021.700006,31.65549333,64.17486333,46,25.5,49,46,25.5,13,11
10385007,2021.700354,31.63787333,64.18671333,46,19.5,19.5,46,19.5,12,12
10385008,2021.700698,31.62971167,64.20130333,40.5,25,47,40.5,25,11,11
10385009,2021.701081,31.62336167,64.21877667,45.5,28.5,47,45.5,28.5,11,11
10385019,2021.705126,31.66696167,64.16627833,47.5,40,48,47.5,40,12,12
10385020,2021.705887,31.66731,64.16727333,46,46,21.5,46,21.5,16,12
10386003,2021.758936,31.66448667,64.16694667,53,51,53,53.5,53,53,53
10386005,2021.760755,31.66799167,64.16635667,52,52,52,52.5,52,54,50
10386008,2021.762445,31.66773167,64.16535833,55,55,55,55,55,55,49
10386009,2021.763021,31.66090667,64.178145,55,55,55,55,55,53,53
10386010,2021.763474,31.65768167,64.196605,47,47,47,47,47,49,11
10386011,2021.763761,31.66418167,64.22603167,44,48,44,44,44,12,12
10386012,2021.764325,31.66231667,64.24388833,53,59,53,53.5,53,53,45
10386014,2021.765911,31.67810333,64.10878833,18,14,14,18,14,15,11
10386015,2021.766214,31.66712167,64.16702333,21.5,13.5,13.5,21.5,13.5,12,12
10386016,2021.766383,31.66720667,64.16670833,20.5,16.5,16.5,20.5,16.5,15,11
50058004,2021.777867,31.66506333,64.16807833,52,31,31,52,31,23,13
50058007,2021.779528,31.72536333,64.21996333,34,40.5,40.5,54,40.5,42,26
10387002,2021.878088,31.67436667,64.17458167,78,72.5,72.5,74,72.5,12,12
10387003,2021.878944,31.667555,64.16722333,81,80,79,81.5,80,11,11
10387004,2021.880337,31.66720333,64.167445,83,79,79,81,79,81,75
10387005,2021.880921,31.66957167,64.18614333,85,80.5,79,82.5,80.5,81,11
10387006,2021.881301,31.66509333,64.22721167,79,78,77,79,77,78,78
10387007,2021.881592,31.67801333,64.23507833,95,93,92,95,92,91,79
10387008,2021.882043,31.69289167,64.25212333,70,70,70,71,70,70,70
10387020,2021.889654,31.62544667,64.17863,82.5,82,80.5,82.5,80.5,24,24
10387021,2021.889819,31.66489667,64.16800333,96,90.5,90.5,95.5,90.5,92,84
10387022,2021.890103,31.66822833,64.17112,91,88,88,92,88,89,75
61420004,2021.926454,31.66955333,64.168235,37,70,37,77.5,70,37,37
10388004,2021.943103,31.66775333,64.166265,73,76.5,76.5,84,76.5,73,35
10388011,2021.947369,31.66191167,64.176705,11,45,11,85.5,45,11,11
10388016,2021.949854,31.70681667,64.14647333,80,80.5,80.5,98.5,80.5,80,16
10388017,2021.950023,31.66587667,64.170475,76,76,76,81,76,76,16
10388018,2021.950392,31.66934167,64.17534,55,66,66,71,66,55,17
10388019,2021.951594,31.66619167,64.16961833,83,88.5,88.5,94.5,88.5,83,77
